???? ????,?????,?????,??????,,?? ?????,??? ???????,???,?????,????,?????,?????/?????,???? ????,????? ????? ??????,?????? ???,????? ???,??? ?????,??? ?????,???? ?????/?????,????? ????? ??????,????? ???? ??????
130000,117000,0,11700,5 ??? ?????? ????? (??????? ??????) - TD LTE,5155448,?????,?????,?????,LTE-20M-limited,?? ??? ???????,?????,??????,?????,693644,1402/11/01 9:14,TD-LTE,??????,?????,1402/11/03 10:12,1402/11/01 9:14
0,0,0,0,??? ????,5155448,?????,?????,?????,LTE-20M-limited,?? ??? ???????,?????,??????,?????,693644,1402/11/01 9:14,TD-LTE,??????,?????,1402/11/03 10:12,1402/11/01 9:14
11232000,10108800,0,1010880,4 ?? 80 ?? - 6 ???? 600 ??? -BIZ,8660048,?????,?????,?????,LTE-80M-limited,?? ??? ???????,?????,?????,???? ?????,693648,1402/11/01 9:31,TD-LTE,????,???? ?????,1403/02/20 23:13,1402/11/01 9:32
0,0,0,0,????? ????,4856873,?????,?????,?????,LTE-40M-limited,?? ??? ???????,?????,?????,???? ????,693647,1402/11/01 9:33,TD-LTE,?????,?????,1402/11/11 9:35,1402/11/01 9:35
1683500,1515150,0,151515,2 ?? 20 ?? - 3 ???? - 90 ??? - TD-LTE,6790748,?????,?????,?????,LTE-20M-limited,??? ????? ?????,?????,?????,?????? ???????,693645,1402/11/01 9:33,TD-LTE,????,?????,1403/01/31 9:33,1402/11/01 9:33
1462500,1316250,0,131625,??????? ????? - 2 ?? 40 ?? - 1 ????  ??????? (????????? 130 ??? ?????? ??? ????? ) TD-LTE,4935173,?????,?????,?????,LTE-40M-unlimited-FUP,??? ????? ?????,?????,?????,???? ????,693646,1402/11/01 9:36,TD-LTE,????,?????,1402/12/01 9:36,1402/11/01 9:36
6500000,5850000,0,585000,2 ?? 40 ?? - 6 ???? - 400 ??? - TD-LTE,6547973,?????,?????,?????,LTE-40M-limited,?? ??? ???????,?????,?????,???? ?????,693213,1402/11/01 9:38,TD-LTE,????,?????,1403/04/28 9:39,1402/11/01 9:39
3412500,3071250,0,307125,2 ?? 40 ?? - 3 ???? - 200 ??? - TD-LTE,8401973,?????,?????,?????,LTE-40M-limited,?? ??? ???????,?????,??????,?????,693652,1402/11/01 9:43,TD-LTE,????,?????,1402/12/03 11:22,1402/11/01 9:44
1950000,1755000,0,175500,4 ?? 80 ?? - 1 ???? 100 ??? -BIZ,8385998,?????,?????,?????,LTE-80M-limited,????? ????? ?????,?????,??????,?????,693660,1402/11/01 9:49,TD-LTE,????,?????,1402/12/01 11:03,1402/11/01 11:03
1462500,1316250,0,131625,??????? ????? - 2 ?? 40 ?? - 1 ????  ??????? (????????? 130 ??? ?????? ??? ????? ) TD-LTE,3246323,?????,?????,?????,LTE-40M-unlimited-FUP,????? ????? ?????,?????,?????,??????? ??? ???,693666,1402/11/01 10:01,TD-LTE,????,?????,1402/11/26 9:04,1402/11/01 10:01
468000,421200,0,42120,20 ??? ?????? ????? (??????? ??????) - TD LTE,7288448,?????,?????,?????,LTE-40M-limited,?? ??? ???????,?????,??????,?????,693667,1402/11/01 10:04,TD-LTE,??????,?????,1402/11/18 11:15,1402/11/01 10:04
0,0,0,0,???? ????,3611723,?????,?????,?????,WIR-4MB-limited,?? ??? ???????,?????,?????,????? ??????,693668,1402/11/01 10:05,WireLess,????,?????,1403/01/31 10:05,1402/11/01 10:05
247000,222300,0,22230,10 ??? ?????? ????? (??????? ??????) - TD LTE,5704223,?????,?????,?????,LTE-20M-limited,?? ??? ???????,?????,??????,?????,693671,1402/11/01 10:07,TD-LTE,??????,?????,1402/11/18 22:08,1402/11/01 10:07
0,0,0,0,???? ?????? ????,3611723,?????,?????,?????,WIR-4MB-limited,?? ??? ???????,?????,?????,????? ??????,693669,1402/11/01 10:07,WireLess,??????,?????,1403/01/31 11:05,1402/11/01 10:07
4897900,4408110,0,440811,4 ?? 40 ?? - 12 ???? - 300 ??? - TD -LTE,9000023,?????,?????,?????,LTE-40M-limited,?? ??? ???????,?????,?????,????? ??????,693673,1402/11/01 10:10,TD-LTE,????,???? ?????,1403/10/25 18:04,1402/11/01 18:04
1105000,994500,0,99450,2 ?? 40 ?? - 3 ????- 60 ??? - TD-LTE,6061748,?????,?????,?????,LTE-40M-limited,?? ??? ???????,?????,??????,?????,693674,1402/11/01 10:11,TD-LTE,????,?????,1403/01/24 10:43,1402/11/01 10:11
13000000,11700000,0,1170000,2 ?? 40 ?? - 12 ???? - 800 ??? - TD-LTE,2857523,?????,?????,?????,LTE-40M-limited,?? ??? ???????,?????,?????,??????? ??? ???,693670,1402/11/01 10:11,TD-LTE,????,?????,1403/10/27 1:42,1402/11/03 1:42
8766479,7889831.1,0,788983,Pro Plus - ???? 2 ?? 40 ?? - 12 ???? - 660 ??? - TD-LTE,8592773,?????,?????,?????,LTE-40M-limited,?? ??? ???????,?????,?????,???? ????,693675,1402/11/01 10:11,TD-LTE,????,???? ?????,1403/10/25 10:11,1402/11/01 10:11
1950000,1755000,0,175500,100 ??? ?????? ????? (??????? ??????) - TD LTE,8196323,?????,?????,????,LTE-40M-limited,?? ??? ???????,?????,??????,?????,693677,1402/11/01 10:15,TD-LTE,??????,?????,1402/11/01 10:15,1402/11/01 10:15
910000,819000,0,81900,40 ??? ?????? ????? (??????? ??????) - TD LTE,6256148,?????,?????,?????,LTE-40M-limited,?? ??? ???????,?????,??????,?????,693680,1402/11/01 10:19,TD-LTE,??????,?????,1402/12/24 21:44,1402/11/01 10:19
682500,614250,0,61425,2 ?? 40 ??- 45 ???? -32 ???-TD-LTE,8054123,?????,?????,?????,LTE-40M-limited,?? ??? ???????,?????,??????,?????,693682,1402/11/01 10:21,TD-LTE,????,?????,1402/11/21 9:45,1402/11/01 10:22
910000,819000,0,81900,???? ?????- 2 ?? 40 ?? - 3 ???? 60 ??? - TD-LTE,5996723,?????,?????,?????,LTE-40M-limited,??? ????? ?????,?????,?????,???? ????,693684,1402/11/01 10:23,TD-LTE,????,?????,1403/01/31 10:23,1402/11/01 10:23
9717500,8745750,0,874575,2 ?? 20 ?? - 12 ???? - 600 ??? - TD-LTE,6788948,?????,?????,?????,LTE-20M-limited,?? ??? ???????,?????,?????,?????? ???????,693676,1402/11/01 10:27,TD-LTE,????,?????,1403/10/25 10:27,1402/11/01 10:27
247000,222300,0,22230,10 ??? ?????? ????? (??????? ??????) - TD LTE,4058123,?????,?????,?????,LTE-40M-limited,?? ??? ???????,?????,??????,?????,693688,1402/11/01 10:28,TD-LTE,??????,?????,1402/12/09 13:47,1402/11/01 10:28
1137500,1023750,0,102375,2 ?? 20 ?? - 45 ????  - 60 ??? - TD-LTE,2594948,?????,?????,?????,LTE-20M-limited,?? ??? ???????,?????,??????,?????,693687,1402/11/01 10:30,TD-LTE,????,?????,1402/12/16 10:30,1402/11/01 10:30
1950000,1755000,0,175500,100 ??? ?????? ????? (??????? ??????) - TD LTE,4318448,?????,?????,?????,LTE-40M-limited,?? ??? ???????,?????,??????,?????,693690,1402/11/01 10:32,TD-LTE,??????,?????,1403/01/05 23:23,1402/11/01 10:32
468000,421200,0,42120,20 ??? ?????? ????? (??????? ??????) - TD LTE,5477648,?????,?????,?????,LTE-40M-limited-tejari,?? ??? ???????,?????,??????,?????,693695,1402/11/01 10:35,TD-LTE,??????,?????,1402/12/30 12:50,1402/11/01 10:35
0,0,0,0,???? ?????? ????,3697673,?????,?????,?????,WIR-20MB-limited,?? ??? ???????,?????,?????,????? ??????,693700,1402/11/01 10:41,WireLess,??????,?????,1403/04/17 15:41,1402/11/01 10:41
0,0,0,0,???? ?????? ????,3697673,?????,?????,?????,WIR-20MB-limited,?? ??? ???????,?????,?????,????? ??????,693701,1402/11/01 10:42,WireLess,??????,?????,1403/04/17 15:41,1402/11/01 10:42
0,0,0,0,???? ???? - ????? - 10 ???? - 10 ???,7602323,?????,?????,?????,LTE-40M-limited,??? ????? ?????,?????,?????,??????? ??? ???,693703,1402/11/01 10:46,TD-LTE,?????,?????,1402/12/24 12:07,1402/12/14 12:07
247000,222300,0,22230,10 ??? ?????? ????? (??????? ??????) - TD LTE,3585398,?????,?????,?????,LTE-20M-limited,?? ??? ???????,?????,??????,?????,693706,1402/11/01 10:52,TD-LTE,??????,?????,1402/11/21 10:02,1402/11/01 10:52
910000,819000,0,81900,40 ??? ?????? ????? (??????? ??????) - TD LTE,7362698,?????,?????,?????,LTE-40M-limited,?? ??? ???????,?????,??????,?????,693708,1402/11/01 10:54,TD-LTE,??????,?????,1403/02/15 13:25,1402/11/01 10:54
247000,222300,0,22230,10 ??? ?????? ????? (??????? ??????) - TD LTE,8822498,?????,?????,?????,LTE-40M-limited,?? ??? ???????,?????,??????,?????,693704,1402/11/01 10:54,TD-LTE,??????,?????,1403/09/17 20:09,1402/11/01 10:54
942500,848250,0,84825,2 ?? 40 ?? - 3 ???? - 30 ??? - TD-LTE,5414423,?????,?????,?????,LTE-40M-limited,?? ??? ???????,?????,??????,?????,693707,1402/11/01 10:58,TD-LTE,????,?????,1403/01/28 10:15,1402/11/01 10:52
130000,117000,0,11700,5 ??? ?????? ????? (??????? ??????) - TD LTE,5339723,?????,?????,?????,LTE-20M-limited,?? ??? ???????,?????,??????,?????,693712,1402/11/01 11:02,TD-LTE,??????,?????,1402/11/03 19:31,1402/11/01 11:02
1462500,1316250,0,131625,??????? ????? - 2 ?? 40 ?? - 1 ????  ??????? (????????? 130 ??? ?????? ??? ????? ) TD-LTE,2538698,?????,?????,?????,LTE-40M-unlimited-FUP,?? ??? ???????,?????,?????,?????? ??????,693714,1402/11/01 11:02,TD-LTE,????,?????,1402/11/29 15:28,1402/11/01 11:04
0,0,0,0,??? ????,2538698,?????,?????,?????,LTE-40M-unlimited-FUP,?? ??? ???????,?????,?????,?????? ??????,693714,1402/11/01 11:02,TD-LTE,??????,?????,1402/11/29 15:28,1402/11/01 11:04
438750,394875,0,39488,2 ?? 40 ?? - 45 ???? - 15 ??? - TD-LTE,6624473,?????,?????,?????,LTE-40M-limited,????? ?? ?????,?????,??????,????? ??????,693713,1402/11/01 11:08,TD-LTE,????,?????,1402/12/06 14:59,1402/11/01 11:09
2242500,2018250,0,201825,2 ?? 40 ?? - 3 ???? - 100 ??? - ????? -TD-LTE,4905023,?????,?????,?????,LTE-40M-limited-tejari,?? ??? ???????,?????,??????,?????,693722,1402/11/01 11:13,TD-LTE,????,?????,1403/01/21 22:22,1402/11/01 15:11
4897900,4408110,0,440811,4 ?? 40 ?? - 12 ???? - 300 ??? - TD -LTE,8583323,?????,?????,?????,LTE-40M-limited,?? ??? ???????,?????,?????,???? ?????,693725,1402/11/01 11:16,TD-LTE,????,???? ?????,1403/10/25 11:18,1402/11/01 11:18
975000,877500,0,87750,??? ???? -8 ??  - 3 ???? ( ????????? 252 ??? ?????? ????? ????? 126 ??? ?????? ??? ????? ),1828598,?????,?????,?????,DSL-128to8M-FUP,?? ??? ???????,?????,?????,??????? ??? ???,693691,1402/11/01 11:17,ADSL,????,?????,1403/01/31 11:17,1402/11/01 11:17
8222500,7400250,0,740025,2 ?? 40 ?? - 12 ???? -500 ??? - TD-LTE,6894473,?????,?????,?????,LTE-40M-limited,?? ??? ???????,?????,?????,????? ?????,693698,1402/11/01 11:18,TD-LTE,????,?????,1403/10/25 11:18,1402/11/01 11:18
1950000,1755000,0,175500,100 ??? ?????? ????? (??????? ??????) - TD LTE,6846998,?????,?????,?????,LTE-40M-limited,LTE ???????,?????,??????,?????,693726,1402/11/01 11:19,TD-LTE,??????,?????,1402/11/18 11:47,1402/11/01 11:19
1950000,1755000,0,175500,?? ?? ???????-?? ?? ?? - 12 ????,8583323,?????,?????,?????,LTE-40M-limited,?? ??? ???????,?????,?????,?????? ??????,693728,1402/11/01 11:22,TD-LTE,IP,?????,1403/10/25 11:18,1402/11/01 11:21
1300000,1170000,0,117000,2 ?? 40 ?? - 1 ???? - 75 ??? - TD-LTE,7811573,?????,?????,?????,LTE-40M-limited,?? ??? ???????,?????,??????,????? ??????,693723,1402/11/01 11:25,TD-LTE,????,?????,1402/12/01 11:25,1402/11/01 11:25
0,0,0,0,???? ????,7517498,?????,???? ????,???????,LTE-80M-limited,?? ??? ???????,?????,?????,????? ????,693733,1402/11/01 11:28,TD-LTE,????,?????,1402/11/03 11:28,1402/11/01 11:28
975000,877500,0,87750,?? ?? ???????-?? ?? ?? - 6 ????,6301598,?????,?????,?????,LTE-20M-limited,?? ??? ???????,?????,??????,?????? ???? ????,693735,1402/11/01 11:34,TD-LTE,IP,?????,1403/04/28 11:31,1402/11/01 11:31
0,0,0,-1010880,4 ?? 80 ?? - 6 ???? 600 ??? -BIZ,8659373,?????,?????,?????,LTE-80M-limited,?????? ????,?????,?????,???? ????,0,1402/11/01 11:41,TD-LTE,????,?????,-----,-----
247000,222300,0,22230,10 ??? ?????? ????? (??????? ??????) - TD LTE,7958273,?????,?????,?????,LTE-40M-limited,?? ??? ???????,?????,??????,?????,693741,1402/11/01 11:45,TD-LTE,??????,?????,1403/05/28 20:23,1402/11/01 11:45
0,0,0,0,???? ???? - ????? - 10 ???? - 10 ???,3189398,?????,?????,?????,LTE-20M-limited,LTE ???????,?????,?????,?????? ??????,693744,1402/11/01 11:46,TD-LTE,?????,?????,1402/11/11 11:47,1402/11/01 11:47
0,0,0,-362700,2 ?? 40 ?? - 12 ???? -160 ??? - TD-LTE,2776973,?????,?????,?????,LTE-40M-limited,?? ??? ???????,?????,?????,???? ????,0,1402/11/01 11:48,TD-LTE,????,?????,-----,-----
0,0,0,0,ip ????,7517498,?????,???? ????,???????,LTE-80M-limited,?? ??? ???????,?????,?????,????? ????,693745,1402/11/01 11:48,TD-LTE,IP,?????,1402/11/03 11:28,1402/11/01 11:48
1300000,1170000,0,117000,2 ?? 40 ?? - 1 ???? - 75 ??? - TD-LTE,5836073,?????,?????,?????,LTE-40M-limited,?? ??? ???????,?????,?????,??????? ??? ???,693718,1402/11/01 11:58,TD-LTE,????,?????,1402/12/01 11:57,1402/11/01 11:57
468000,421200,0,42120,20 ??? ?????? ????? (??????? ??????) - TD LTE,7922498,?????,?????,?????,LTE-40M-limited,?? ??? ???????,?????,??????,????? ??????,693747,1402/11/01 12:00,TD-LTE,??????,?????,1403/05/23 13:36,1402/11/01 12:00
2873000,2585700,0,258570,170 ??? ?????? ????? (??????? ??????) - TD LTE,8082473,?????,?????,?????,LTE-40M-limited,?? ??? ???????,?????,?????,?????? ??????,693658,1402/11/01 12:00,TD-LTE,??????,?????,1403/06/20 15:31,1402/11/01 12:00
130000,117000,0,11700,5 ??? ?????? ????? (??????? ??????) - TD LTE,4691948,?????,?????,?????,LTE-40M-limited,????? ??????,?????,??????,?????,693751,1402/11/01 12:06,TD-LTE,??????,?????,1402/11/04 14:26,1402/11/01 12:05
4023500,3621150,0,362115,2 ?? 40 ?? - 6 ???? -230 ??? - TD-LTE,2776973,?????,?????,?????,LTE-40M-limited,?? ??? ???????,?????,?????,?????? ??????,693750,1402/11/01 12:06,TD-LTE,????,?????,1403/01/20 14:52,1402/11/01 12:11
468000,421200,0,42120,20 ??? ?????? ????? (??????? ??????) - TD LTE,7227923,?????,?????,?????,LTE-40M-limited,?? ??? ???????,?????,??????,?????,693752,1402/11/01 12:08,TD-LTE,??????,?????,1403/01/29 0:55,1402/11/01 12:08
0,0,0,0,???? ?????? ????,3654248,?????,?????,?????,WIR-20MB-limited,?? ??? ???????,?????,?????,????? ??????,693757,1402/11/01 12:16,WireLess,??????,?????,1403/04/14 9:52,1402/11/01 12:16
2873000,2585700,0,258570,170 ??? ?????? ????? (??????? ??????) - TD LTE,8264048,?????,?????,?????,LTE-20M-limited,?? ??? ???????,?????,?????,?????? ??????,693758,1402/11/01 12:16,TD-LTE,??????,?????,1403/01/10 16:25,1402/11/01 12:16
0,0,0,0,???? ?????? ????,3675398,?????,?????,?????,WIR-40MB-limited,?? ??? ???????,?????,?????,????? ??????,693759,1402/11/01 12:18,WireLess,??????,?????,1403/08/01 19:55,1402/11/01 12:18
468000,421200,0,42120,20 ??? ?????? ????? (??????? ??????) - TD LTE,7308023,?????,?????,?????,LTE-40M-limited-tejari,?? ??? ???????,?????,??????,?????,693763,1402/11/01 12:21,TD-LTE,??????,?????,1403/01/22 20:44,1402/11/01 12:21
2873000,2585700,0,258570,170 ??? ?????? ????? (??????? ??????) - TD LTE,5977373,?????,?????,?????,LTE-40M-limited,?? ??? ???????,?????,?????,??????? ??? ???,693738,1402/11/01 12:24,TD-LTE,??????,?????,1403/05/13 14:49,1402/11/01 12:24
0,0,0,0,??? ????,5977373,?????,?????,?????,LTE-40M-limited,?? ??? ???????,?????,?????,??????? ??? ???,693738,1402/11/01 12:24,TD-LTE,??????,?????,1403/05/13 14:49,1402/11/01 12:24
438750,394875,0,39488,??? ???? ???? ??-8 ?? - 1 ???? ( ????????? 420 ??? ?????? ????? ????? 210 ??? ?????? ??? ????? ),8446073,?????,?????,?????,DSL-128to8M-FUP,?? ??? ???????,?????,??????,?????,693765,1402/11/01 12:25,ADSL,????,?????,1402/12/02 21:10,1402/11/02 21:20
1462500,1316250,0,131625,??????? ????? - 2 ?? 40 ?? - 1 ????  ??????? (????????? 130 ??? ?????? ??? ????? ) TD-LTE,3355898,?????,?????,?????,LTE-40M-unlimited-FUP,?? ??? ???????,?????,??????,????? ??????,693764,1402/11/01 12:27,TD-LTE,????,?????,1402/11/29 20:59,1402/11/01 12:23
565500,508950,0,50895,2 ?? 20 ?? - 1 ???? - 30 ??? - TD-LTE,6459323,?????,?????,?????,LTE-20M-limited,?? ??? ???????,?????,?????,?????? ???????,693731,1402/11/01 12:31,TD-LTE,????,?????,1402/12/01 12:31,1402/11/01 12:31
1950000,1755000,0,175500,100 ??? ?????? ????? (??????? ??????) - TD LTE,5821673,?????,?????,?????,LTE-40M-limited,?? ??? ???????,?????,??????,?????,693773,1402/11/01 12:37,TD-LTE,??????,?????,1403/03/26 9:30,1402/11/01 12:37
